연번,기업명,영향범주,인증번호,제품군,인증제품명,자원발자국-총량,자원발자국-단위,자원발자국-제조전,자원발자국-제조,자원발자국-사용,자원발자국-폐기,탄소발자국-총량,탄소발자국-단위,탄소발자국-제조전,탄소발자국-제조,탄소발자국-사용,탄소발자국-폐기,오존층영향-총량,오존층영향-단위,오존층영향-제조전,오존층영향-제조,오존층영향-사용,오존층영향-폐기,산성비-총량,산성비-단위,산성비-제조전,산성비-제조,산성비-사용,산성비-폐기,부영양화-총량,부영양화-단위,부영양화-제조전,부영양화-제조,부영양화-사용,부영양화-폐기,광화학 스모그-총량,광화학 스모그-단위,광화학 스모그-제조전,광화학 스모그-제조,광화학 스모그-사용,광화학 스모그-폐기,물발자국-총량,물발자국-단위,물발자국-제조전,물발자국-제조,물발자국-사용,물발자국-폐기,시작,종료
1,고려기초소재(주),환경성적,2018-073,생산재,콘크리트혼화재(고로슬래그미분말),0.398,kgSbe/ton,0.146,0.252,,,62.3,kgCO2e/ton,21.7,40.6,,,0.00000677,kgCFC-11e/ton,0.00000664,0.000000128,,,0.321,kgSO2e/ton,0.217,0.105,,,0.0432,kgPO43-e/ton,0.0285,0.0147,,,0.0556,kgC2H4e/ton,0.0509,0.00472,,,0.427,m3H2Oe/ton,0.179,0.248,,,2021-07-26,2024-07-25
2,고려기초소재(주),환경성적,2018-074,생산재,콘크리트혼화재(고로슬래그시멘트),2.07,kgSbe/ton,2.07,0.00308,,,531,kgCO2e/ton,530,0.487,,,0.00000625,kgCFC-11e/ton,0.00000625,,,,0.634,kgSO2e/ton,0.633,0.000823,,,0.0719,kgPO43-e/ton,0.0718,0.000153,,,0.374,kgC2H4e/ton,0.374,0.00000347,,,0.869,m3H2Oe/ton,0.863,0.00607,,,2021-07-26,2024-07-25
3,고려에프에이(주),환경성적,2018-075,생산재,콘크리트혼화재(플라이애시),0.0686,kgSbe/ton,0.054,0.0146,,,10.2,kgCO2e/ton,7.94,2.31,,,0.00000297,kgCFC-11e/ton,0.00000297,,,,0.0426,kgSO2e/ton,0.0387,0.00391,,,0.00702,kgPO43-e/ton,0.0063,0.000727,,,0.0189,kgC2H4e/ton,0.0188,0.0000169,,,0.148,m3H2Oe/ton,0.12,0.0288,,,2021-07-26,2024-07-25
4,주식회사 에어론,저탄소제품,2021-232,생산재,에어론 저방사 단열재(준불연),1.11,kgSbe/m3,1.09,0.0118,,,91,kgCO2e/m3,89.3,1.67,,,0.00301,kgCFC-11e/m3,0.00301,,,,0.369,kgSO2e/m3,0.365,0.00412,,,1.75,kgPO43-e/m3,1.75,0.00153,,,0.224,kgC2H4e/m3,0.224,0.000188,,,1.58,m3H2Oe/m3,1.51,0.0703,,,2021-07-30,2024-07-29
5,산수음료(주),환경성적,2021-233,비내구재,i'm eco 산수 [0.5L],0.0924,kgSbe/개,0.0923,0.0000966,,0.00000405,0.104,kgCO2e/개,0.082,0.0145,,0.00751,0.0224,kgCFC-11e/개,0.0224,,,,0.178,kgSO2e/개,0.178,0.0000578,,0.00000478,0.0223,kgPO43-e/개,0.0223,0.00000958,,0.0000226,0.202,kgC2H4e/개,0.202,0.0000249,,0.0000011,0.0396,m3H2Oe/개,0.0394,0.000237,,0.00000316,2021-07-30,2024-07-29
6,산수음료(주),환경성적,2021-236,비내구재,i'm eco 산수 [0.33L],0.0654,kgSbe/개,0.0653,0.0000846,,0.00000307,0.0758,kgCO2e/개,0.0574,0.0127,,0.00561,0.0158,kgCFC-11e/개,0.0158,,,,0.126,kgSO2e/개,0.126,0.0000492,,0.00000367,0.0158,kgPO43-e/개,0.0157,0.00000818,,0.0000168,0.143,kgC2H4e/개,0.143,0.0000207,,0.000000865,0.028,m3H2Oe/개,0.0278,0.000202,,0.00000242,2021-07-30,2024-07-29
7,선진레미콘 주식회사,환경성적,2021-246,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",1.1,kgSbe/m3,1.08,0.0136,,,279,kgCO2e/m3,277,2.14,,,0.00000627,kgCFC-11e/m3,0.00000627,,,,0.479,kgSO2e/m3,0.474,0.00421,,,0.044,kgPO43-e/m3,0.0433,0.000701,,,0.21,kgC2H4e/m3,0.21,0.0000565,,,0.909,m3H2Oe/m3,0.873,0.0361,,,2021-07-30,2024-07-29
8,선진레미콘 주식회사,환경성적,2021-247,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.865,kgSbe/m3,0.853,0.0117,,,218,kgCO2e/m3,216,1.85,,,0.00000549,kgCFC-11e/m3,0.00000548,,,,0.415,kgSO2e/m3,0.412,0.00371,,,0.0365,kgPO43-e/m3,0.0359,0.000608,,,0.165,kgC2H4e/m3,0.165,0.0000544,,,0.813,m3H2Oe/m3,0.782,0.0315,,,2021-07-30,2024-07-29
9,선진레미콘 주식회사,환경성적,2021-248,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",1.04,kgSbe/m3,1.03,0.0112,,,262,kgCO2e/m3,260,1.76,,,0.00000697,kgCFC-11e/m3,0.00000696,,,,0.471,kgSO2e/m3,0.467,0.00357,,,0.0443,kgPO43-e/m3,0.0438,0.000582,,,0.201,kgC2H4e/m3,0.201,0.0000538,,,0.92,m3H2Oe/m3,0.889,0.0306,,,2021-07-30,2024-07-29
10,선진레미콘 주식회사,환경성적,2021-249,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",1.44,kgSbe/m3,1.43,0.0149,,,370,kgCO2e/m3,367,2.35,,,0.0000075,kgCFC-11e/m3,0.00000749,,,,0.577,kgSO2e/m3,0.572,0.00456,,,0.0553,kgPO43-e/m3,0.0545,0.000766,,,0.277,kgC2H4e/m3,0.277,0.000058,,,1.03,m3H2Oe/m3,0.991,0.0398,,,2021-07-30,2024-07-29
